config_id,config_source,center_id,fold_id,phase,status,error_message,valid_rmsle,valid_rmse_log,best_nrounds,elapsed_seconds,train_rows,valid_rows,n_columns,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,lambda,alpha
local_008,local_refinement,random_004,inner_3,local_refinement,ok,,0.541825528283429,0.541825528283429,5000,24.0227069854736,1458175,157920,257,0.088519328635039,7,1.50551344073767,0.711934115644544,0.847380450554192,0.180348537035555,0.39469408669667,3.82344611060793
local_009,local_refinement,random_027,inner_3,local_refinement,ok,,0.539554938504369,0.539555172761123,5000,24.9214038848877,1458175,157920,257,0.0733114846549301,8,6.04902097280625,0.832181085366756,0.692373051634058,0.00326540265697943,0.398190560706497,0.102737319820376
local_010,local_refinement,reference_config,inner_3,local_refinement,ok,,0.540203899181225,0.540203899181225,5000,13.9193358421326,1458175,157920,257,0.0499299726682446,7,4.38663051834403,0.918041209216847,0.72280078488757,0.00587159528318717,0.303108498188566,0.0130391641327231
local_011,local_refinement,random_004,inner_3,local_refinement,ok,,0.552182859018149,0.552182859018149,5000,7.59767007827759,1458175,157920,257,0.0924401420022295,6,1.47055971518527,0.73817216004245,0.81837516524829,0.00296144366429696,0.265682278182462,0
local_012,local_refinement,reference_config,inner_3,local_refinement,ok,,0.53823816810101,0.53823816810101,5000,18.0222499370575,1458175,157920,257,0.0422099846390407,7,6.32610815008437,0.94803036417967,0.741840214798051,0.0171676026831164,0.141054863161425,0.0033382159330789
local_013,local_refinement,random_004,inner_3,local_refinement,ok,,0.546670350634841,0.546670350634841,5000,14.8071148395538,1458175,157920,257,0.0457907856450875,7,1.15677965751147,0.719139098422602,0.860126170376316,0.00312663853828611,0.0747491652798138,2.20992760083611
local_014,local_refinement,random_027,inner_3,local_refinement,ok,,0.541939878745651,0.541939878745651,5000,12.2602279186249,1458175,157920,257,0.0764752704120429,6,3.66193824181156,0.986596576450393,0.634141916455701,0.00944027277218028,0.474261469513313,0
local_015,local_refinement,reference_config,inner_3,local_refinement,ok,,0.541219671249695,0.541219671249695,5000,32.4109699726105,1458175,157920,257,0.0319242150312245,7,4.11404896530956,0.902641407439172,0.697183486264023,0.0124977117340595,0.0967215655582092,0
local_016,local_refinement,random_004,inner_3,local_refinement,ok,,0.546059360760063,0.546059360760063,5000,19.2757201194763,1458175,157920,257,0.109868400884107,7,1,0.834695297759026,0.951891641458496,0.0666198856873879,0.341592705395391,3.99389027553149
local_017,local_refinement,random_027,inner_3,local_refinement,ok,,0.540195592948125,0.540195592948125,5000,23.2598009109497,1458175,157920,257,0.0729363109494017,7,6.32097704387204,0.989093146007508,0.696693727327511,0.00398825924414808,0.412464084927523,0.903344999314873
local_018,local_refinement,reference_config,inner_3,local_refinement,ok,,0.540132336670154,0.540132336670154,5000,35.9810590744019,1458175,157920,257,0.0289546096340747,7,7.90746629299255,0.800387618357002,0.6,0.0108069298166322,0.321084106677951,0.00218085216124814
local_019,local_refinement,random_004,inner_3,local_refinement,ok,,0.539541926126244,0.539541926126244,5000,19.7373080253601,1458175,157920,257,0.083468830813018,6,1,0.740999705484137,0.835270911036059,0,0.216143818518303,3.04024681525511
local_020,local_refinement,random_027,inner_3,local_refinement,ok,,0.536196517352436,0.536196517352436,5000,12.4277839660645,1458175,157920,257,0.0795805172169189,7,4.70373278161221,0.916872896347195,0.614492302015424,0.00814359554157444,0.739479328514542,0
random_001,random_search,,inner_3,successive_halving_stage1,ok,,0.547259367996013,0.547283491548404,5000,13.9708590507507,1458175,157920,257,0.114579959145114,5,1.18299863908305,0.811242195218802,0.956967617757618,0,1.70192288966819,0.0110888014947704
random_002,random_search,,inner_3,successive_halving_stage1,ok,,0.572365618390009,0.572365618390009,5000,18.6984980106354,1458175,157920,257,0.0560692389144576,4,27.6422623357698,0.698435093741864,0.616823813412339,3.46176707962144,0.407364669919695,0.244260463724234
random_003,random_search,,inner_3,successive_halving_stage1,ok,,0.546335095213231,0.546335095213231,5000,5.57535791397095,1458175,157920,257,0.148033850494683,7,13.6492351437714,0.817626409884542,0.837656808178872,1.95154804584725,0.317906560285577,0.159416793255296
random_004,random_search,,inner_3,successive_halving_stage1,ok,,0.539821195093083,0.539821195093083,5000,14.9364228248596,1458175,157920,257,0.0735862272781206,6,1.09504659521962,0.791118388436735,0.903383815009147,0,0.199610775479002,3.24709672462535
random_005,random_search,,inner_3,successive_halving_stage1,ok,,0.56091799329265,0.56091799329265,5000,49.0496520996094,1458175,157920,257,0.038961672804148,4,3.89863466389185,0.660977899096906,0.655522425379604,0.00719079374955808,0.222010737293697,0
random_006,random_search,,inner_3,successive_halving_stage1,ok,,0.536901408474685,0.536901408474685,5000,22.8394458293915,1458175,157920,257,0.0415232495334356,9,1.56779735484401,0.82437919350341,0.682612555846572,0.0096344032242366,0.113050429830976,0.000169494587112688
random_007,random_search,,inner_3,successive_halving_stage1,ok,,0.550824962758173,0.550824962758173,5000,62.0884039402008,1458175,157920,257,0.0186608714001097,6,2.7515604552299,0.925856015551835,0.77940653655678,2.04524780871088,8.90125616663834,0.211629386592413
random_008,random_search,,inner_3,successive_halving_stage1,ok,,0.543860973981586,0.543862012293044,5000,15.725485086441,1458175,157920,257,0.0638722758087615,9,1.00230737137716,0.790126629639417,0.688047554064542,0.867457924840022,0.567750850571841,0.592073731505808
random_009,random_search,,inner_3,successive_halving_stage1,ok,,0.536454713711333,0.536454713711333,5000,38.9066700935364,1458175,157920,257,0.0262851664654907,8,4.66761682058584,0.915278333611786,0.641145857702941,0.0200119732586479,0.807547018262725,0
random_010,random_search,,inner_3,successive_halving_stage1,ok,,0.568685058910643,0.568685058910643,5000,72.2476809024811,1458175,157920,257,0.0202668825466156,4,3.55086365385447,0.862703251186758,0.728149296995252,2.01080188880024,0.166113267878105,0.000750348902000797
random_011,random_search,,inner_3,successive_halving_stage1,ok,,0.542390420641593,0.542390420641593,5000,27.2236680984497,1458175,157920,257,0.059714557486268,6,6.06439376387123,0.981789530999959,0.79316095886752,0.00221924396944625,14.8763910922533,0.0361016706178508
random_012,random_search,,inner_3,successive_halving_stage1,ok,,0.548581349515359,0.548598755509556,5000,10.0364511013031,1458175,157920,257,0.129238248116597,8,1.25105959574012,0.979090776015073,0.888238509371877,0.178522286327522,0.124246762053545,0.000543842889494075
random_013,random_search,,inner_3,successive_halving_stage1,ok,,0.548703499522601,0.548703499522601,5000,12.6797931194305,1458175,157920,257,0.0666783337253215,9,2.24947374927877,0.747795546334237,0.99368768138811,3.38185414277538,0.134081024338577,0.0105329836182617
random_014,random_search,,inner_3,successive_halving_stage1,ok,,0.550518803590177,0.550527326658802,5000,25.0871131420136,1458175,157920,257,0.0734680242324335,5,11.9725020608717,0.89483109517023,0.808454290311784,0,3.40487378997419,0
random_015,random_search,,inner_3,successive_halving_stage1,ok,,0.543250918168069,0.543250918168069,5000,48.2698481082916,1458175,157920,257,0.030746342529607,6,1.03936704134297,0.673539809603244,0.937091727554798,0.80990088718213,0.219367556726256,0.0157455444115254
random_016,random_search,,inner_3,successive_halving_stage1,ok,,0.536167027439758,0.536167027439758,5000,42.4787700176239,1458175,157920,257,0.0264128300577345,8,22.7861425676303,0.799010906834155,0.755163611937314,0,0.241903741491164,0
random_017,random_search,,inner_3,successive_halving_stage1,ok,,0.542513500392696,0.542513500392696,5000,50.7422349452973,1458175,157920,257,0.0247163320944093,7,2.23477666979153,0.8009198253043,0.741561828739941,0,3.19688553106218,0.07238966551649
random_018,random_search,,inner_3,successive_halving_stage1,ok,,0.560835548345507,0.560835548345507,5000,70.4275012016296,1458175,157920,257,0.0249571044647588,4,2.66468582230119,0.851989221386612,0.673531396314502,0.0206434272790568,12.5401858346226,0.503120255157601
random_019,random_search,,inner_3,successive_halving_stage1,ok,,0.544830702119608,0.544830702119608,5000,34.3662369251251,1458175,157920,257,0.0508073969424445,6,8.55063877348673,0.935907105915248,0.724979265965521,0.2964591599831,4.64202685540902,0.00726424195567796
random_020,random_search,,inner_3,successive_halving_stage1,ok,,0.637128554231667,0.637128554231667,5000,6.17232322692871,1458175,157920,257,0.0276136611017748,3,29.039044126736,0.96074975579977,0.709666648600251,0,0.390928853681452,0.0254946469625424
